Key,Description,Standard,RU,RU_DESCRIPTION
SAY.Blackout.1.,,Karen: Oh no! I think the power went out because of the overload!,Карен: О нет! Кажется пробки выбило из за нагрузки!,
SAY.Blackout.2.,,I should go down to the garage and restart the power.,Я должна спуститься в гараж и включить свет.,
SAY.Doors.1.,,I don't need to go there right now!,Мне туда сейчас не нужно!,
SAY.Doors.10.,,I am afraid to go outside! What if there are demons there?,Мне страшно выходить наружу! Вдруг там демоны с монстрами?,
SAY.Doors.19.,,I don't really need to go to the bathroom.,Я не хочу в туалет.,
SAY.Blackout Garage Cycle 2.2.,,"The power is on, everything is ok.","Свет работает, всё хорошо.",
SAY.Blackout Garage Cycle 2.3.,,I think i almost died! It was so dark! And something definetely was in here!,Мне кажется я чуть не померла! Было так темно и там точно что-то было!,
SAY.Blackout Garage Cycle 2.4.,,Good thing i managed to bring the light back to my house!,Хорошо что я смогла включить свет в доме!,
SAY.Blackout Garage Cycle 2.5.,,I should go and rest...,Мне нужно прилечь...,
SAY.Main Room Cycle 2.3.,,...,...,
SAY.Main Room Cycle 2.96.,,"And, you have correctly identified, that Satan is the root of all problems!","И, как вы правильно определили, Дьявол - корень всех проблем!",
SAY.Main Room Cycle 2.90.,,"Even if you are afraid of the Nuclear War, it's not imminent, and does not rely on your participation. However this problem does!","Даже если вы боитесь ядерной войны, она случится еще не скоро, и вам её не остановить. А вот эту проблему предотвратить можно! ",
SAY.Main Room Cycle 2.98.,,"Satan is very much real, and is nearing your home! Perhaps you noticed the signs already!",Дьявол очень даже реален и он приближается к вашему дому! Возможно вы даже заметили некоторые предпосылки…,
SAY.Main Room Cycle 2.103.,,"The lights, your son's behaviour... And however more that you don't notice!  And I am here, to help you with the protection of your home!","Проблемы со светом, поведение вашего сына… И еще многое на что вы не обращаете внимание! Поэтому я здесь, чтобы помочь защитить ваш дом!",
SAY.Main Room Cycle 2.102.,,Karen: Okay.... But why me? Isn't everyone in danger? Why help me in particular?,Карен: Хорошо… Но почему я? Разве не все в опасности? Почему ты помогаешь именно мне?,
SAY.Main Room Cycle 2.101.,,"Seth: Silly, I AM helping everyone! ","Сет: Да ну вы что, я И ТАК помогаю всем!",
SAY.Main Room Cycle 2.157.,,"I have already helped countless people, and you are just another lucky child of god, who gets the special treatment!","Я помог куче людей, а вы лишь ещё божье одно дитя, которому я помогаю!",
SAY.Main Room Cycle 2.100.,,"But hush now, it was hard for your nerves today already! ","Тише, дитя. Сегодня был тяжелый день.",
SAY.Main Room Cycle 2.151.,,"Go to sleep now, I will guard it with my life! After you wake up, there is much to be done!","Ложись спать, я удостоверюсь чтобы тебя никто не потревожил, даже если это будет стоить мне жизни! Завтра нам предстоит много дел!",
SAY.Main Room Cycle 2.83.,,"Even if you are afraid of spiders, now you know there are things that are much worse than that!","Даже если вы боитесь пауков, теперь вы знаете что есть вещи и пострашнее!",
SAY.Main Room Cycle 2.65.,,Well hello there missus!,"Ну здравствуйте, мисс!",
SAY.Main Room Cycle 2.78.,,I believe you find yourself in a bit of a situation!,Я так наблюдаю вы оказались в не самом приятном положении!,
SAY.Main Room Cycle 2.77.,,Karen: Wha.....,Карен: Какого…,
SAY.Main Room Cycle 2.76.,,Why are you here? How did you get inside?,Почему ты здесь? Как ты сюда попал?,
SAY.Main Room Cycle 2.75.,,"Seth: Why? Missus, this is an emergency! And a big one i might say!","Сет: Почему? Мисс, это необычная ситуация! И довольно опасная!",
SAY.Main Room Cycle 2.74.,,"I came here, to help you get rid of the demons in your home! I see you've been watching my programs, and following them!","Я пришел сюда чтобы помочь вам избавиться от демонов в вашем доме! Вижу, вы смотрели мои передачи и следовали им!",
SAY.Main Room Cycle 2.60.,,"Karen: Oh no! It's almost 8 p.m.! I should do something, before it's too late!",Карен: О нет! Сейчас почти 8 вечера! Нужно что-то сделать пока не поздно!,
SAY.Main Room Cycle 2.61.,,"I have to turn on the lights in the places where we sleep, so the Devil does not invade us when we are not awake!","Я должна включить свет в местах сна, чтобы Дьявол не напал пока мы спим!",
SAY.Main Room Cycle 2.62.,,"But the corridors are equally important, so I should probably light them too!","Коридоры не менее важны, там тоже стоит включить свет!",
SAY.TV world Cycle 2.96.,,"LADIES AND GENTELMEN, WELCOME!","ЛЕДИ И ДЖЕНТЕЛЬМЕНЫ, ДОБРО ПОЖАЛОВАТЬ!!",
SAY.TV world Cycle 2.97.,,"My name is Seth, and today's Public Service Announcement is dedicated to — Energy Consumption!",МЕНЯ ЗОВУТ СЕТ И СЕГОДНЯШНЯЯ ПЕРЕДАЧА ПОСВЯЩЕНА — ЭНЕРГОПОТРЕБЛЕНИЮ,
SAY.TV world Cycle 2.98.,,THIS PROGRAM IS BROUGHT TO YOU BY THE SALVATION PROJECT.,ГЛАВНЫЙ СПОНСОР НАШЕЙ ПРОГРАММЫ - ПРОЖЕКТ ИСКУПЛЕНИЯ,
SAY.TV world Cycle 2.99.,,"So, as we previously stated, energy consumption is an extremely important issue! ","Как говорилось ранее, энергопотребление является крайне серьезной проблемой!",
SAY.TV world Cycle 2.117.,,"However, sometimes, we have to ignore it, to protect ourselves from the evils of the world!","Однако, иногда нам приходится игнорировать ее, чтобы спастись от сатанинской угрозы!",
SAY.TV world Cycle 2.100.,,"As you all know, satanism has started to rapidly grow in our coummunities!","Как вы уже знаете, сатанизм стремительно набирает популярность в нашей стране, и наши граждане начали борьбу!","ПЕРЕВЕДЕНО НЕ ВСЁ, ПЕРЕПРОВЕРИТЬ ОРИГИНАЛ!"
SAY.TV world Cycle 2.110.,,"Since our last program, many of our viewers relayed to us their succsesses of protecting their house from the devil's propaganda!",С прошлого эфира многие наши зрители сообщили о своих успехах в борьбе с пропагандой дьявольщины!,
SAY.TV world Cycle 2.101.,,But that is not enough!,"Но и этого не достаточно! Как говорится в Иеремия 29 стих 11: Ведь Я знаю Мои намерения о вас, — возвещает Господь.",
SAY.TV world Cycle 2.122.,,"As Jeremiah 29:11 says: For I know the plans I have for you, declares the Lord, plans for welfare and not for evil, to give you a future and a hope.","Намерения принести вам благополучие, а не беду, даровать вам будущее и надежду!",
SAY.TV world Cycle 2.102.,,"The Devil comes at the devil's hour! But using science, our specialists discovered, that the correct time of the devil's hour is 8 p.m. !","Дьявол придёт в тёмный час! Но используя современную науку, наши учёные выяснили, что “тёмный час” - это 8 вечера!",
SAY.TV world Cycle 2.103.,,"The Devil fears The Light! Even the smallest darkness, can bring the devil, so we shall shine the light on it, and bring safety to our homes!",Дьявол боится Света! Даже слабая тень может впустить Дьявола в ваш дом! Поэтому вы должны пролить свет на тьму и обезопасить себя.,
SAY.TV world Cycle 2.104.,,"We implore you - turn on every light in the home until 8 p.m., and make your house safer! The Devil shall not pass!","Вот наш совет - сохраните свой дом, включите все светильники в здании до восьми вечера! Дьявол не пройдет!",
SAY.TV world Cycle 2.105.,,"Be careful, because if you don't care, THEY WILL.","Берегите себя и своих близких, иначе будет нечего беречь!",
SAY.TV world Cycle 2.106.,,"This was a Salvation Project program, until the next time!\nSeth out!","Это был эфир Прожекта Искупления, с вами был Сет. До скорой встречи!","Почему здесь теперь ""Проект""? Вы либо этот вариант оставьте, либо тот криндж уберите."
SAY.Windows.132.,,Window is already closed.,,
SAY.Windows.159.,,I have to get the instruments and materials from the garage!,Мне нужно забрать инструменты и доски из гаража!,
SAY.Windows.134.,,One more window down!,Это окно готово!,
SAY.Windows.145.,,That's it for windows!,С окнами покончено!,
SAY.Windows.138.,,"""{$count}"" more to go!","Осталось еще ""{$count}""!",
SAY.TasksEnd.72.,,I think that's it! Now the house is inpenetrable to demons!,Вроде бы всё! Теперь демоны внутрь не залезут!,
SAY.TasksEnd.174.,,I think...,Надеюсь...,
SAY.TasksEnd.175.,,I should go and see Seth.,Пожалуй надо проведать Сета.,
SAY.PickUps Garage Cycle 3.13.,,These planks should be enough to cover all the windows in the house!.,Этих досок должно хватить чтобы заколотить все окна!,
SAY.PickUps Garage Cycle 3.16.,,This hammer should do just fine! The nails are just the size i need too.,Этот молоток подойдёт! И гвозди как раз то что надо!,
SAY.PickUps Garage Cycle 3.24.,,These are all the materials I'll need.,Это всё что мне нужно.,
SAY.PickUps Garage Cycle 3.34.,,I have to find all the windows!,Я должна найти все окна!,
SAY.PickUps Garage Cycle 3.29.,,Now I need to find a hammer and some nails.,Теперь мне нужно найти молоток с гвоздями.,
SAY.PickUps Garage Cycle 3.35.,,They must be around somewhere.,Они должны быть где-то рядом.,
SAY.PickUps Garage Cycle 3.26.,,Now I need to find the planks.,Теперь нужно найти доски.,
SAY.PickUps Garage Cycle 3.36.,,They must be around here somewhere.,Они должны быть где-то рядом.,
SAY.Crosses.1.,,"Oh my God! It was turned, just like he said!","Боже мой! Распятье перевернуто, как он и сказал!",
SAY.Crosses.2.,,I should fix it immediately!,Я должна это немедленно исправить.,
SAY.Crosses.6.,,That's better!,Так-то лучше!,
SAY.Crosses.25.,,I need to find one more rotated cross!,Мне нужно найти где еще есть перевернутые распятия!,
SAY.Crosses.24.,,It was the last one!,Это было последним!,
SAY.Crosses.26.,,Cross is rotated back already.,Распятье уже перевернуто.,
SAY.Main Room Cycle 3.63.,,I see you have completed your mission!,"Я смотрю, миссия выполнена!",
SAY.Main Room Cycle 3.65.,,"And most importantly, you are still alive!","А самое главное, вы все еще живы!",
SAY.Main Room Cycle 3.64.,,Karen: I was attacked! How can you be so insensitive?,Да на меня напали! Почему ты такой равнодушный?,
SAY.Main Room Cycle 3.66.,,"Seth: I AM NOT INSENSITIVE, I AM JUST DOING MY JOB! AND MY JOB IS TO KEEP YOU SAFE!","Сет: Я НЕ РАВНОДУШНЫЙ, Я ВСЕГО ЛИШЬ ДЕЛАЮ СВОЮ РАБОТУ! А МОЯ РАБОТА - УБЕРЕЧЬ ТЕБЯ!",
SAY.Main Room Cycle 3.67.,,"MISSUS, YOU SHOUD NOT ANGER THE ONE, WHO GIVES YOU SALVATION!","МИСС, ВЫ НЕ ДОЛЖНЫ ЗЛИТЬ ТОГО, КТО ДАРУЕТ ВАМ ИСКУПЛЕНИЕ!",
SAY.Main Room Cycle 3.68.,,You look tired. You should go to sleep.,Вы выглядите устало. Ложитесь спать.,
SAY.Main Room Cycle 3.69.,,Karen: But i don't want to sleep! I need to understand!,Карен: Но я не хочу спать! Я должна понять!,
SAY.Main Room Cycle 3.70.,,Seth: Go. To. Sleep.,Сет: Ложитесь. Спать.,
SAY.Main Room Cycle 3.59.,,"Maybe check your garage for instruments and materials, you are bound to have something!","Поищи инструменты и доски в гараже, уж там-то точно что нибудь найдёшь! ",
SAY.Main Room Cycle 3.60.,,"I also remember you having a cross in here nearby, as well as a mirror in your room.","Я видел пару распятий у тебя в доме, а ещё большое зеркало в твоей комнате.",
SAY.Main Room Cycle 3.61.,,"So, what are you waiting for? Go go go!!","Ну, чего стоишь? Вперёд, вперёд, вперёд!!",
SAY.Main Room Cycle 3.57.,,What a charmer huh? Sure is an energetic fella!,Ну и обаяшка! Какой энергичный парень!,
SAY.Main Room Cycle 3.58.,,"But he is right! You should get on your feet, and start covering them windows!",Но он прав! Пора проснуться и начать баррикадировать окна!,
SAY.Main Room Cycle 3.89.,,...,...,
SAY.SpookyEvent Mom room Cycle 3.17.,,What was that thing?,Что это было?,
SAY.SpookyEvent Mom room Cycle 3.18.,,It's not here...?,Оно не здесь...?,
SAY.Mirror.20.,,I need to cover this!,Надо завесить это зеркало!,
SAY.Mirror.9.,,Mirror is covered already.,Зеркало уже завешено.,
SAY.TV world Cycle 3.102.,,"WELCOME, EVERYONE!",ПРИВЕТ ВСЕМ!,
SAY.TV world Cycle 3.103.,,"MY NAME IS SETH,  AND TODAY'S PUBLIC SERVICE ANNOUNCEMENT IS DEDICATED TO THE SIGNS OF SATAN IN YOUR HOUSE!",МЕНЯ ЗОВУТ СЕТ И СЕГОДНЯШНЯЯ ПЕРЕДАЧА ПОСВЯЩЕНА ПРИЗНАКАМ ДЬЯВОЛА В ВАШЕМ ДОМЕ!,
SAY.TV world Cycle 3.104.,,This program is brought to you by The Salvation Project.,ГЛАВНЫЙ СПОНСОР НАШЕЙ ПРОГРАММЫ - ПРОЖЕКТ ИСКУПЛЕНИЯ!,
SAY.TV world Cycle 3.105.,,"As you should know, THE DEVIL IS COMING! And we should all be protecting ourselves and our loved ones from the Devil!",Как вам наверняка известно ДЬЯВОЛ ГРЯДЁТ! Нам же надо сделать все возможное чтобы защитить от него себя и своих близких.,
SAY.TV world Cycle 3.106.,,CHECK YOUR WINDOWS! CHECK YOUR WINDOWS!  BOARD THEM UP! BOARD THEM UP!,ПРОВЕРЬТЕ ОКНА! ПРОВЕРЬТЕ ОКНА! ПРОВЕРЬТЕ ОКНА! ЗАКОЛОТИТЕ ИХ! ЗАКОЛОТИТЕ ИХ!,
SAY.TV world Cycle 3.107.,,SATAN SHALL NOT PASS!,ДЬЯВОЛ НЕ ПРОЙДЕТ!,
SAY.TV world Cycle 3.108.,,CHECK YOUR CROSSES! MAKE SURE THEY ARE NOT INVERTED! CHECK YOUR MIRRORS! COVER THEM UP!,ПРОВЕРЬТЕ ВАШИ РАСПЯТЬЯ! УБЕДИТЕСЬ ЧТО ОНИ НЕ ПЕРЕВЕРНУТЫ! ПРОВЕРЬТЕ ЗЕРКАЛА! ЗАВЕСЬТЕ ИХ!,
SAY.TV world Cycle 3.109.,,SATANNNNN SHALL NOT PASS! SATANNNNN SHALL NOT PASS!,ДЬЯВОЛ НЕ ПРОЙДЕТ! ДЬЯВОЛ НЕ ПРОЙДЕТ!,
SAY.TV world Cycle 3.110.,,"Be careful, because if you don't care, THEY WILL.","Берегите себя и своих близких, иначе беречь будет некого!",
SAY.TV world Cycle 3.111.,,"This was a Salvation Project program, until next time!\nSeth out!","Это был эфир Проекта Искупления, с вами был Сет!\nДо скорой встречи!",
SAY.NoNeedSwitch.3.,,The lights are not coming on! I need to do what Seth says quickly!,Свет не включается! Да и всё равно!,
SAY.Doors.28.,,I need to find candles and chalk in the storage! Nothing else matters now!,"Нужно найти свечи и зажигалку, как сказал Сет!",
SAY.Start.31.,,"YESSS!! YEHEHEHESSS!! NOW THE TIME HAS COME, YOUR SOUL WILL BE OURS!",ДААА! ДА-ХА-ХА-ХА! ВРЕМЯ ПРИШЛО! ТВОЯ ДУША БУДЕТ НАШЕЙ!,
SAY.Start.32.,,THE SALVATION PROJECT! IT IS FINALLY COMPLETED!\nTHE HOLLOW STAR  HAS AWAKENED AND YOU WERE IT'S ORIGINATOR!,ПРОЖЕКТ ИСКУПЛЕНИЯ: ОН НАКОНЕЦ ЗАВЕРШЁН! ОТРЕЧЁННАЯ ЗВЕЗДА ПРОБУДИЛАСЬ! И ВСЁ ЭТО БЛАГОДАРЯ ТЕБЕ!,
SAY.Start.48.,,"PERISH YOU NAIVE WENCH, AND SUCCUMB TO THE WILL OF OUR DARK LORD!","СДОХНИ, НАИВНАЯ ЖЕНЩИНА, И СДАЙСЯ ВОЛЕ НАШЕГО ТЕМНОГО ВЛАСТЕЛИНА!",
SAY.Start.50.,,,,
SAY.NoNeedSwitch.1.,,,,
SAY.Pentagram.11.,,I need to find all materials in a storage!,Я должна найти все материалы в кладовке!,
SAY.Pentagram.25.,,I need to talk with Seth at first.,Мне нужно сначала поговорить с Сетом.,
SAY.Pentagram.35.,,"THATS' IT!\nNow, draw the sacred pentagram, and place the candles on the edges of the forsaken star!","ЭТО ВСЁ ЧТО НУЖНО!\nТеперь, нарисуй священную пентаграмму и расставь свечи по углам отреченной звезды!",
SAY.Pentagram.37.,,The Lord Demands it! The Lord is Coming!,ГОСПОДЬ ТОГО ТРЕБУЕТ! ГОСПОДЬ ИДЕТ!,
SAY.Main Room Cycle 4.22.,,Focus now!,Слушай внимательно!,
SAY.Main Room Cycle 4.24.,,"Get the chalk and candles from storage, lighter from the kitchen, and DON'T forget the lighter! ","Найди мел и свечи в кладовке, зажигалку на кухне и НЕ СМЕЙ что нибудь забыть!",
SAY.Main Room Cycle 4.35.,,The storage room is right across the corridor!,Кладовка - прямо по коридору!,
SAY.Main Room Cycle 4.25.,,"Then, and ONLY then get back to me, and we'll begin the ritual.",Тогда и ТОЛЬКО ТОГДА возвращайся ко мне и мы начнем ритуал.,
SAY.TV world Cycle 4.102.,,HEYA THERE MISSUS!,"Ну здравствуйте, мисс!",
SAY.TV world Cycle 4.103.,,I SEE YOU'RE BACK AGAIN FOR THE DAILY WISDOM!,Я ВИЖУ ТЫ ВЕРНУЛАСЬ ЗА ЕЖЕДНЕВНОЙ ПОРЦИЕЙ МУДРОСТИ!,
SAY.TV world Cycle 4.104.,,YOU ARE UNDER ATTACK!,ТЫ ПОД УГРОЗОЙ!,
SAY.TV world Cycle 4.105.,,YOUR LIFE IS UNDER ATTACK!,ТВОЯ ЖИЗНЬ ПОД УГРОЗОЙ!,
SAY.TV world Cycle 4.106.,,YOUR SOUL IS UNDER ATTACK!,ТВОЯ ДУША ПОД УГРОЗОЙ!,
SAY.TV world Cycle 4.107.,,WE HAVE TO GO FOR THE NUCLEAR OPTION - YOU HAVE TO CALL FOR HELP!,НАМ ПРИДЕТСЯ ПРИБЕГНУТЬ К КРАЙНИМ МЕРАМ! МЫ ОБРАТИМСЯ ЗА ПОМОЩЬЮ!,
SAY.TV world Cycle 4.108.,,"LUCKILY, OUR MANAGER KNOWS THE CORRECT RITUAL, TO SUMMON A GUARDIAN ANGEL FOR YOUR HOME!","К СЧАСТЬЮ, НАШ МЕНЕДЖЕР ЗНАЕТ ПОДХОДЯЩИЙ РИТУАЛ, ПРИЗЫВАЮЩИЙ АНГЕЛА ХРАНИТЕЛЯ В ТВОЙ ДОМ!",
SAY.TV world Cycle 4.109.,,DO IT! NOW! DO IT! NOW!,СДЕЛАЙ ЭТО! СДЕЛАЙ ЭТО! СДЕЛАЙ ЭТО!,
SAY.Main Room Cycle 5 Start.3.,,Karen: What was that? What is happening?,,
SAY.Main Room Cycle 5 Start.5.,,Everything is back to normal...,,
SAY.Main Room Cycle 5 Start.4.,,I should go and pick up that phone.,,
SAY.Main Room Cycle 5.7.,,What are these wailings? What is happening? What am i....,Что это за крики? Что за стоны? Что тут.....,
SAY.Main Room Cycle 5.32.,,"Man in the phone: Mam? Hello mam, can you hear me?","Мужчина в телефоне: Мэм, вы меня слышите?",
SAY.Main Room Cycle 5.33.,,"You stopped responding to my calls a week ago, is everything okay?",Вы перестали отвечать на звонки с прошлой недели.,
SAY.Main Room Cycle 5.34.,,Do you take your medication daily?,Вы не забываете принимать свои таблетки?,
SAY.Main Room Cycle 5.35.,,Karen: I need help....,Карен: Мне нужна помощь....,
SAY.Main Room Cycle 5.52.,,I want to see my family again.,Я хочу увидеть свою семью...,
SAY.PickUps Childroom Cycle 1.5.,,This is a MENTALLICA poster.,Это плакат МЕНТАЛИКИ.,
SAY.PickUps Childroom Cycle 1.9.,,What a terrifying poster! I better take it down.,Какой кошмарный плакат! Надо его сорвать.,
SAY.PickUps Childroom Cycle 1.6.,,This is a MENTALLICA audiotape.,Это кассета с МЕНТАЛИКОЙ.,
SAY.PickUps Childroom Cycle 1.8.,,Sure does look satanic! It is definetely dangerous!,Такая музыка играет в Аду! Эта кассета опасна!,
SAY.PickUps Childroom Cycle 1.7.,,"This is a ""rulebook"" for a board game Dungeons and Demons!",Это “книга правил” для настольной игры Подземелья и Демоны!,
SAY.PickUps Childroom Cycle 1.10.,,"If this isn't an indoctrination book, i don't know what is!","Однозначно, это книга для промывания мозгов!",
SAY.PickUps Childroom Cycle 1.24.,,"I think that's all of them! I should just burn it in the furnace, in the garage.","Думаю это всё! Надо отправить это в печь, что в гараже.",
SAY.PickUps Childroom Cycle 1.23.,,"Now, there {$items} more satanic objects to find!",Осталось найти еще {$items} предметов.,
SAY.Garage Cycle 1.13.,,I should go look for these demonic items in my son's bedroom!,Я должна поискать дьявольские вещи в спальне моего сныа!,
SAY.Garage Cycle 1.17.,,"Burn, burn, burn! There is no place for Satan in my home!","Гори, гори ясно! Дьяволу нет места в моем доме!",криндж
SAY.Garage Cycle 1.30.,,"Now that the job is done, i can finally rest near the TV again. Another day done right!","Дело сделано, можно и прилечь у телевизора. Очередной день проведен с пользой!",
SAY.Main Room Cycle 1.3.,,...,...,
SAY.Main Room Cycle 1.85.,,Karen: This does raise a concern! I think i saw something that could be satanic in my son's room upstairs...,Карен: Ну ничего себе! Мне кажется я видела что-то сатанистическое в комнате моего сына.,
SAY.Main Room Cycle 1.86.,,I have to investigate immediately!,Я должна срочно проверить второй этаж!,
SAY.Main Room Cycle 1.110.,,"TV:In today's news: there was an event of greatest importance today! Jonathan Wozzus gave us his inaugural speech, in which he....","ТВ: В сегодняшних новостях: сегодня случилось величайшее событие! Джонатан Возусс выступил с инаугурационной речью, в которой он...",
SAY.TV world Cycle 1.39.,,"LADIES AND GENTELMEN, WELCOME!","ЛЕДИ И ДЖЕНТЕЛЬМЕНЫ, ДОБРО ПОЖАЛОВАТЬ!!",
SAY.TV world Cycle 1.5.,,"MY NAME IS SETH, AND TODAY'S PUBLIC SERVICE ANNOUNCEMENT IS DEDICATED TO: YOUR FEARS!",МЕНЯ ЗОВУТ СЕТ И В СЕГОДНЯШНЕЙ ПЕРЕДАЧЕ МЫ ПОГОВОРИМ О: ВАШИХ СТРАХАХ!,
SAY.TV world Cycle 1.6.,,THIS PROGRAM IS BROUGHT TO YOU BY THE SALVATION PROJECT.,ГЛАВНЫЙ СПОНСОР НАШЕЙ ПРОГРАММЫ - ПРОЖЕКТ ИСКУПЛЕНИЯ,
SAY.TV world Cycle 1.7.,,And what fear are we going to be discussing today?,И о каких же страхах мы будем говорить?,
MENU.TV world Cycle 1.10,,Spiders,Пауки,
MENU.TV world Cycle 1.12,,The Nuclear War,Ядерная война,
MENU.TV world Cycle 1.13,,Satanism,Сатанизм,
SAY.TV world Cycle 1.76.,,THAT'S RIGHT!,ПРАВИЛЬНО!,
SAY.TV world Cycle 1.77.,,SATANISM!,САТАНИЗМ!,
SAY.TV world Cycle 1.78.,,"Satanism is a great danger to our citizens, and we aaaall should be on our toes!","Итак, сатанизм представляет огромную опасность для наших граждан, потому, мы все должны быть начеку!",
SAY.TV world Cycle 1.79.,,"It's a danger to our souls, to our world, and OUR way of living!","Наш мир, наш образ жизни, наши ДУШИ находятся в опасности!",
SAY.TV world Cycle 1.80.,,And this Danger strikes where it hurts most - our children!,А главную опасность берут на себя наши дети!,
SAY.TV world Cycle 1.81.,,"To make sure your kids are safe, you should locate the satanic objects in your household before it's too late!","Чтобы уберечь ваших детей, необходимо избавиться от дьявольских вещей внутри вашего дома!",
SAY.TV world Cycle 1.82.,,"The typical satanic object includes: satanic audiotapes, satanic posters, or satanic books. ","Дьявольские кассеты, дьявольские постеры, дьявольские книги, всё это - типичные вещи Дьявола.",
SAY.TV world Cycle 1.98.,,"Beware, these can be hidden in plain sight!","Будьте внимательны, они могут быть скрыты на самом видном месте.",
SAY.TV world Cycle 1.83.,,"And on that, we wish your family luck, in searching and destroying the threats inside your home!",На этой ноте мы желаем вашей семье удачи в поиске и устранении угроз в вашем доме.,
SAY.TV world Cycle 1.84.,,"Be careful, because if you don't care, THEY WILL.","Берегите себя и своих близких, иначе беречь будет нечего!",
SAY.TV world Cycle 1.99.,,This has been a broadcast from the Salvation Project. Until next time!\nSeth out!,"Это был эфир Прожекта Искупления, с вами был Сет.\nДо скорой встречи!",
SAY.Blackout 2 1.2.,Копипаста из-за специфики эвента. (сорян),I should go down to the garage and restart the power.,Я должна спуститься в гараж и включить свет.,
SAY.Blackout 2 1.1.,,Karen: Oh no! I think the power went out because of the overload!,Карен: О нет! Кажется пробки выбило из за нагрузки!,
SAY.Blackout 2 2.2.,,I should go down to the garage and restart the power.,Я должна спуститься в гараж и включить свет.,
SAY.Blackout 2 2.1.,,Karen: Oh no! I think the power went out because of the overload!,Карен: О нет! Кажется пробки выбило из за нагрузки!,
SAY.Blackout 2 3.2.,,I should go down to the garage and restart the power.,Я должна спуститься в гараж и включить свет.,
SAY.Blackout 2 3.1.,,Karen: Oh no! I think the power went out because of the overload!,Карен: О нет! Кажется пробки выбило из за нагрузки!,
SAY.EndCheck.72.,,I think that's it! Now the house is inpenetrable to demons!,Вроде бы всё! Теперь демоны внутрь не залезут!,
SAY.EndCheck.174.,,I think...,Надеюсь...,
SAY.EndCheck.175.,,I should go and see Seth.,Пожалуй надо проведать Сета.,